,Gene,Chromosome_Accession,Transcript,Transcript_ID_Full
16944,CD14,NC_000005.9,NM_001174105,NM_001174105.1
16945,CD14,NC_000005.9,NM_001040021,NM_001040021.2
16946,CD14,NC_000005.9,NM_001174104,NM_001174104.1
16947,CD14,NC_000005.9,NM_000591,NM_000591.3
16948,TMCO6,NC_000005.9,NM_001300980,NM_001300980.1
16949,TMCO6,NC_000005.9,NM_018502,NM_018502.4
16950,TMCO6,NC_000005.9,NM_001300982,NM_001300982.1
16951,NDUFA2,NC_000005.9,NM_002488,NM_002488.4
16952,NDUFA2,NC_000005.9,NM_001185012,NM_001185012.1
16953,NDUFA2,NC_000005.9,NR_033697,NR_033697.1
16954,IK,NC_000005.9,NM_006083,NM_006083.3
16955,MIR3655,NC_000005.9,NR_037428,NR_037428.1
16956,WDR55,NC_000005.9,NM_017706,NM_017706.4
16957,DND1,NC_000005.9,NM_194249,NM_194249.2
16958,HARS,NC_000005.9,NM_001289094,NM_001289094.1
16959,HARS,NC_000005.9,NM_001289093,NM_001289093.1
16960,HARS,NC_000005.9,NM_001258042,NM_001258042.2
16961,HARS,NC_000005.9,NM_001258040,NM_001258040.2
16962,HARS,NC_000005.9,NM_001289092,NM_001289092.1
16963,HARS,NC_000005.9,NM_001258041,NM_001258041.2
16964,HARS,NC_000005.9,NM_002109,NM_002109.5
16965,HARS2,NC_000005.9,NM_001278732,NM_001278732.1
16966,HARS2,NC_000005.9,NM_012208,NM_012208.3
16967,HARS2,NC_000005.9,NM_001278731,NM_001278731.1
16968,ZMAT2,NC_000005.9,NM_144723,NM_144723.2
16969,VTRNA1-1,NC_000005.9,NR_026703,NR_026703.1
16970,VTRNA1-2,NC_000005.9,NR_026704,NR_026704.1
16971,VTRNA1-3,NC_000005.9,NR_026705,NR_026705.1
16972,PCDHA1,NC_000005.9,NM_018900,NM_018900.3
16973,PCDHA1,NC_000005.9,NM_031411,NM_031411.2
16974,PCDHA1,NC_000005.9,NM_031410,NM_031410.2
16975,PCDHA2,NC_000005.9,NM_018905,NM_018905.2
16976,PCDHA2,NC_000005.9,NM_031496,NM_031496.1
16977,PCDHA2,NC_000005.9,NM_031495,NM_031495.1
16978,PCDHA3,NC_000005.9,NM_018906,NM_018906.2
16979,PCDHA3,NC_000005.9,NM_031497,NM_031497.1
16980,PCDHA4,NC_000005.9,NM_018907,NM_018907.3
16981,PCDHA4,NC_000005.9,NM_031500,NM_031500.2
16982,PCDHA5,NC_000005.9,NM_018908,NM_018908.2
16983,PCDHA5,NC_000005.9,NM_031501,NM_031501.1
16984,PCDHA6,NC_000005.9,NM_018909,NM_018909.3
16985,PCDHA6,NC_000005.9,NM_031849,NM_031849.2
16986,PCDHA6,NC_000005.9,NM_031848,NM_031848.2
16987,PCDHA7,NC_000005.9,NM_018910,NM_018910.2
16988,PCDHA7,NC_000005.9,NM_031852,NM_031852.1
16989,PCDHA8,NC_000005.9,NM_018911,NM_018911.2
16990,PCDHA8,NC_000005.9,NM_031856,NM_031856.1
16991,PCDHA9,NC_000005.9,NM_031857,NM_031857.1
16992,PCDHA9,NC_000005.9,NM_014005,NM_014005.4
16993,PCDHA10,NC_000005.9,NM_018901,NM_018901.3
16994,PCDHA10,NC_000005.9,NM_031860,NM_031860.2
16995,PCDHA10,NC_000005.9,NM_031859,NM_031859.2
16996,PCDHA11,NC_000005.9,NM_018902,NM_018902.4
16997,PCDHA11,NC_000005.9,NM_031861,NM_031861.2
16998,PCDHA12,NC_000005.9,NM_018903,NM_018903.3
16999,PCDHA12,NC_000005.9,NM_031864,NM_031864.2
17000,PCDHA13,NC_000005.9,NM_018904,NM_018904.2
17001,PCDHA13,NC_000005.9,NM_031865,NM_031865.1
17002,PCDHAC1,NC_000005.9,NM_018898,NM_018898.3
17003,PCDHAC1,NC_000005.9,NM_031882,NM_031882.3
17004,PCDHAC2,NC_000005.9,NM_018899,NM_018899.5
17005,PCDHAC2,NC_000005.9,NM_031883,NM_031883.2
17006,LOC101926905,NC_000005.9,NR_105056,NR_105056.2
17007,PCDHB1,NC_000005.9,NM_013340,NM_013340.3
17008,PCDHB2,NC_000005.9,NM_018936,NM_018936.3
17009,PCDHB3,NC_000005.9,NM_018937,NM_018937.4
17010,PCDHB4,NC_000005.9,NM_018938,NM_018938.3
17011,PCDHB5,NC_000005.9,NM_015669,NM_015669.4
17012,PCDHB6,NC_000005.9,NM_018939,NM_018939.3
17013,PCDHB6,NC_000005.9,NM_001303145,NM_001303145.1
17014,PCDHB17P,NC_000005.9,NR_001280,NR_001280.1
17015,PCDHB7,NC_000005.9,NM_018940,NM_018940.3
17016,PCDHB8,NC_000005.9,NM_019120,NM_019120.4
17017,PCDHB16,NC_000005.9,NM_020957,NM_020957.3
17018,PCDHB9,NC_000005.9,NM_019119,NM_019119.4
17019,PCDHB10,NC_000005.9,NM_018930,NM_018930.3
17020,PCDHB11,NC_000005.9,NM_018931,NM_018931.2
17021,PCDHB12,NC_000005.9,NM_018932,NM_018932.3
17022,PCDHB13,NC_000005.9,NM_018933,NM_018933.3
17023,PCDHB14,NC_000005.9,NM_018934,NM_018934.3
17024,PCDHB18P,NC_000005.9,NR_001281,NR_001281.2
17025,PCDHB19P,NC_000005.9,NR_001282,NR_001282.2
17026,PCDHB15,NC_000005.9,NM_018935,NM_018935.3
17027,SLC25A2,NC_000005.9,NM_031947,NM_031947.3
17028,TAF7,NC_000005.9,NM_005642,NM_005642.2
17029,PCDHGA1,NC_000005.9,NM_018912,NM_018912.2
17030,PCDHGA1,NC_000005.9,NM_031993,NM_031993.1
17031,PCDHGA2,NC_000005.9,NM_018915,NM_018915.3
17032,PCDHGA2,NC_000005.9,NM_032009,NM_032009.2
17033,PCDHGA3,NC_000005.9,NM_018916,NM_018916.3
17034,PCDHGA3,NC_000005.9,NM_032011,NM_032011.1
17035,PCDHGB1,NC_000005.9,NM_018922,NM_018922.2
17036,PCDHGB1,NC_000005.9,NM_032095,NM_032095.1
17037,PCDHGA4,NC_000005.9,NM_018917,NM_018917.3
17038,PCDHGA4,NC_000005.9,NM_032053,NM_032053.2
17039,PCDHGB2,NC_000005.9,NM_018923,NM_018923.2
17040,PCDHGB2,NC_000005.9,NM_032096,NM_032096.1
17041,PCDHGA5,NC_000005.9,NM_018918,NM_018918.2
17042,PCDHGA5,NC_000005.9,NM_032054,NM_032054.1
17043,PCDHGB3,NC_000005.9,NM_018924,NM_018924.4
17044,PCDHGB3,NC_000005.9,NM_032097,NM_032097.2
17045,PCDHGA6,NC_000005.9,NM_018919,NM_018919.2
17046,PCDHGA6,NC_000005.9,NM_032086,NM_032086.1
17047,PCDHGA7,NC_000005.9,NM_018920,NM_018920.3
17048,PCDHGA7,NC_000005.9,NM_032087,NM_032087.2
17049,PCDHGB4,NC_000005.9,NM_003736,NM_003736.2
17050,PCDHGB4,NC_000005.9,NM_032098,NM_032098.1
17051,PCDHGA8,NC_000005.9,NM_032088,NM_032088.1
17052,PCDHGA8,NC_000005.9,NM_014004,NM_014004.2
17053,PCDHGB5,NC_000005.9,NM_018925,NM_018925.2
17054,PCDHGB5,NC_000005.9,NM_032099,NM_032099.1
17055,PCDHGA9,NC_000005.9,NM_018921,NM_018921.2
17056,PCDHGA9,NC_000005.9,NM_032089,NM_032089.1
17057,PCDHGB6,NC_000005.9,NM_018926,NM_018926.2
17058,PCDHGB6,NC_000005.9,NM_032100,NM_032100.1
17059,PCDHGA10,NC_000005.9,NM_018913,NM_018913.2
17060,PCDHGA10,NC_000005.9,NM_032090,NM_032090.1
17061,PCDHGB7,NC_000005.9,NM_032101,NM_032101.2
17062,PCDHGB7,NC_000005.9,NM_018927,NM_018927.3
17063,PCDHGA11,NC_000005.9,NM_018914,NM_018914.2
17064,PCDHGA11,NC_000005.9,NM_032092,NM_032092.1
17065,PCDHGA11,NC_000005.9,NM_032091,NM_032091.1
17066,PCDHGB8P,NC_000005.9,NR_001297,NR_001297.1
17067,PCDHGA12,NC_000005.9,NM_003735,NM_003735.2
17068,PCDHGA12,NC_000005.9,NM_032094,NM_032094.1
17069,PCDHGC3,NC_000005.9,NM_002588,NM_002588.3
17070,PCDHGC3,NC_000005.9,NM_032403,NM_032403.2
17071,PCDHGC3,NC_000005.9,NM_032402,NM_032402.1
17072,PCDHGC4,NC_000005.9,NM_018928,NM_018928.2
17073,PCDHGC4,NC_000005.9,NM_032406,NM_032406.1
17074,PCDHGC5,NC_000005.9,NM_018929,NM_018929.2
17075,PCDHGC5,NC_000005.9,NM_032407,NM_032407.1
17076,DIAPH1,NC_000005.9,NM_001079812,NM_001079812.2
17077,DIAPH1,NC_000005.9,NM_005219,NM_005219.4
17078,DIAPH1,NC_000005.9,NM_001314007,NM_001314007.1
17079,LOC100505658,NC_000005.9,NR_038333,NR_038333.1
17080,HDAC3,NC_000005.9,NM_003883,NM_003883.3
17081,RELL2,NC_000005.9,NM_173828,NM_173828.4
17082,RELL2,NC_000005.9,NM_001130029,NM_001130029.1
17083,FCHSD1,NC_000005.9,NM_033449,NM_033449.2
17084,ARAP3,NC_000005.9,NM_022481,NM_022481.5
17085,PCDH1,NC_000005.9,NM_032420,NM_032420.3
17086,PCDH1,NC_000005.9,NM_002587,NM_002587.4
17087,PCDH1,NC_000005.9,NM_001278613,NM_001278613.1
17088,PCDH1,NC_000005.9,NM_001278615,NM_001278615.1
17089,LOC729080,NC_000005.9,NR_033244,NR_033244.1
17090,KIAA0141,NC_000005.9,NM_014773,NM_014773.4
17091,KIAA0141,NC_000005.9,NM_001142603,NM_001142603.2
17092,PCDH12,NC_000005.9,NM_016580,NM_016580.3
17093,RNF14,NC_000005.9,NM_001201365,NM_001201365.1
17094,RNF14,NC_000005.9,NM_183399,NM_183399.2
17095,RNF14,NC_000005.9,NM_004290,NM_004290.4
17096,RNF14,NC_000005.9,NM_183398,NM_183398.2
17097,RNF14,NC_000005.9,NM_183400,NM_183400.2
17098,RNF14,NC_000005.9,NM_183401,NM_183401.2
17099,GNPDA1,NC_000005.9,NM_005471,NM_005471.4
17100,NDFIP1,NC_000005.9,NM_030571,NM_030571.3
17101,SPRY4,NC_000005.9,NM_001127496,NM_001127496.1
17102,SPRY4,NC_000005.9,NM_030964,NM_030964.3
17103,SPRY4,NC_000005.9,NM_001293290,NM_001293290.1
17104,SPRY4,NC_000005.9,NM_001293289,NM_001293289.1
17105,SPRY4-IT1,NC_000005.9,NR_131221,NR_131221.1
17106,LOC101926941,NC_000005.9,NR_120664,NR_120664.1
17107,FGF1,NC_000005.9,NM_001144935,NM_001144935.1
17108,FGF1,NC_000005.9,NM_001144934,NM_001144934.1
17109,FGF1,NC_000005.9,NM_001257206,NM_001257206.1
17110,FGF1,NC_000005.9,NM_001257205,NM_001257205.1
17111,FGF1,NC_000005.9,NM_001257207,NM_001257207.1
17112,FGF1,NC_000005.9,NM_033136,NM_033136.3
17113,FGF1,NC_000005.9,NM_000800,NM_000800.4
17114,FGF1,NC_000005.9,NM_001257211,NM_001257211.1
17115,FGF1,NC_000005.9,NM_001257208,NM_001257208.1
17116,FGF1,NC_000005.9,NM_001257209,NM_001257209.1
17117,FGF1,NC_000005.9,NM_001257210,NM_001257210.1
17118,FGF1,NC_000005.9,NM_001257212,NM_001257212.1
17119,FGF1,NC_000005.9,NM_001144892,NM_001144892.2
17120,FGF1,NC_000005.9,NM_033137,NM_033137.2
17121,LINC01844,NC_000005.9,NR_110558,NR_110558.1
17122,ARHGAP26,NC_000005.9,NM_015071,NM_015071.4
17123,ARHGAP26,NC_000005.9,NM_001135608,NM_001135608.1
17124,ARHGAP26-AS1,NC_000005.9,NR_046680,NR_046680.1
17125,ARHGAP26-IT1,NC_000005.9,NR_046816,NR_046816.1
17126,NR3C1,NC_000005.9,NM_001018075,NM_001018075.1
17127,NR3C1,NC_000005.9,NM_001018074,NM_001018074.1
17128,NR3C1,NC_000005.9,NM_001018077,NM_001018077.1
17129,NR3C1,NC_000005.9,NM_001018076,NM_001018076.1
17130,NR3C1,NC_000005.9,NM_001020825,NM_001020825.1
17131,NR3C1,NC_000005.9,NM_001204258,NM_001204258.1
17132,NR3C1,NC_000005.9,NM_001204259,NM_001204259.1
17133,NR3C1,NC_000005.9,NM_001204260,NM_001204260.1
17134,NR3C1,NC_000005.9,NM_001204261,NM_001204261.1
17135,NR3C1,NC_000005.9,NM_001204262,NM_001204262.1
17136,NR3C1,NC_000005.9,NM_001204263,NM_001204263.1
17137,NR3C1,NC_000005.9,NM_001204264,NM_001204264.1
17138,NR3C1,NC_000005.9,NM_000176,NM_000176.2
17139,NR3C1,NC_000005.9,NM_001024094,NM_001024094.1
17140,NR3C1,NC_000005.9,NM_001204265,NM_001204265.1
17141,MIR5197,NC_000005.9,NR_049829,NR_049829.1
17142,HMHB1,NC_000005.9,NM_021182,NM_021182.1
17143,YIPF5,NC_000005.9,NM_030799,NM_030799.8
17144,YIPF5,NC_000005.9,NM_001271732,NM_001271732.1
17145,YIPF5,NC_000005.9,NM_001024947,NM_001024947.3
17146,KCTD16,NC_000005.9,NM_020768,NM_020768.3
17147,PRELID2,NC_000005.9,NM_205846,NM_205846.2
17148,PRELID2,NC_000005.9,NM_182960,NM_182960.3
17149,PRELID2,NC_000005.9,NM_138492,NM_138492.5
17150,GRXCR2,NC_000005.9,NM_001080516,NM_001080516.1
17151,SH3RF2,NC_000005.9,NM_152550,NM_152550.3
17152,PLAC8L1,NC_000005.9,NM_001029869,NM_001029869.1
17153,LARS,NC_000005.9,NM_001317965,NM_001317965.1
17154,LARS,NC_000005.9,NM_016460,NM_016460.3
17155,LARS,NC_000005.9,NM_001317964,NM_001317964.1
17156,LARS,NC_000005.9,NM_020117,NM_020117.1
17157,RBM27,NC_000005.9,NM_018989,NM_018989.1
17158,POU4F3,NC_000005.9,NM_002700,NM_002700.2
17159,TCERG1,NC_000005.9,NM_006706,NM_006706.3
17160,TCERG1,NC_000005.9,NM_001040006,NM_001040006.1
17161,GPR151,NC_000005.9,NM_194251,NM_194251.2
17162,PPP2R2B,NC_000005.9,NM_001271899,NM_001271899.1
17163,PPP2R2B,NC_000005.9,NM_001271900,NM_001271900.1
17164,PPP2R2B,NC_000005.9,NM_181678,NM_181678.2
17165,PPP2R2B,NC_000005.9,NM_181677,NM_181677.2
17166,PPP2R2B,NC_000005.9,NM_181676,NM_181676.2
17167,PPP2R2B,NC_000005.9,NM_181674,NM_181674.2
17168,PPP2R2B,NC_000005.9,NR_073527,NR_073527.1
17169,PPP2R2B,NC_000005.9,NM_181675,NM_181675.3
17170,PPP2R2B,NC_000005.9,NR_073526,NR_073526.1
17171,PPP2R2B,NC_000005.9,NM_001271948,NM_001271948.1
17172,PPP2R2B-IT1,NC_000005.9,NR_047115,NR_047115.1
17173,STK32A,NC_000005.9,NM_001287740,NM_001287740.1
17174,STK32A,NC_000005.9,NM_001112724,NM_001112724.1
17175,STK32A,NC_000005.9,NM_145001,NM_145001.3
17176,DPYSL3,NC_000005.9,NM_001197294,NM_001197294.1
17177,DPYSL3,NC_000005.9,NM_001387,NM_001387.2
17178,JAKMIP2-AS1,NC_000005.9,NR_038902,NR_038902.1
17179,JAKMIP2,NC_000005.9,NM_001282282,NM_001282282.1
17180,JAKMIP2,NC_000005.9,NM_001270934,NM_001270934.1
17181,JAKMIP2,NC_000005.9,NM_014790,NM_014790.4
17182,JAKMIP2,NC_000005.9,NM_001270941,NM_001270941.1
17183,SPINK1,NC_000005.9,NM_003122,NM_003122.4
17184,SCGB3A2,NC_000005.9,NM_054023,NM_054023.4
17185,C5orf46,NC_000005.9,NM_206966,NM_206966.2
17186,SPINK5,NC_000005.9,NM_001127698,NM_001127698.1
17187,SPINK5,NC_000005.9,NM_006846,NM_006846.3
17188,SPINK5,NC_000005.9,NM_001127699,NM_001127699.1
17189,SPINK14,NC_000005.9,NM_001001325,NM_001001325.2
17190,SPINK6,NC_000005.9,NM_205841,NM_205841.3
17191,SPINK6,NC_000005.9,NM_001195290,NM_001195290.1
17192,LOC102546294,NC_000005.9,NR_105057,NR_105057.1
17193,SPINK13,NC_000005.9,NM_001040129,NM_001040129.2
17194,SPINK13,NC_000005.9,NR_138538,NR_138538.1
17195,SPINK7,NC_000005.9,NM_032566,NM_032566.2
17196,SPINK9,NC_000005.9,NM_001040433,NM_001040433.1
17197,FBXO38,NC_000005.9,NM_030793,NM_030793.4
17198,FBXO38,NC_000005.9,NM_001271723,NM_001271723.1
17199,HTR4,NC_000005.9,NM_001040169,NM_001040169.2
17200,HTR4,NC_000005.9,NM_199453,NM_199453.3
17201,HTR4,NC_000005.9,NM_001040172,NM_001040172.2
17202,HTR4,NC_000005.9,NM_001286410,NM_001286410.1
17203,HTR4,NC_000005.9,NM_000870,NM_000870.6
17204,HTR4,NC_000005.9,NR_104445,NR_104445.1
17205,HTR4,NC_000005.9,NM_001040173,NM_001040173.2
17206,ADRB2,NC_000005.9,NM_000024,NM_000024.5
17207,SH3TC2,NC_000005.9,NM_024577,NM_024577.3
17208,MIR584,NC_000005.9,NR_030310,NR_030310.1
17209,LOC255187,NC_000005.9,NR_122044,NR_122044.1
17210,ABLIM3,NC_000005.9,NM_001301027,NM_001301027.2
17211,ABLIM3,NC_000005.9,NM_001301015,NM_001301015.2
17212,ABLIM3,NC_000005.9,NM_001345861,NM_001345861.1
17213,ABLIM3,NC_000005.9,NM_001301028,NM_001301028.2
17214,ABLIM3,NC_000005.9,NM_014945,NM_014945.4
17215,ABLIM3,NC_000005.9,NM_001301018,NM_001301018.2
17216,ABLIM3,NC_000005.9,NM_001345858,NM_001345858.1
17217,ABLIM3,NC_000005.9,NM_001345859,NM_001345859.1
17218,ABLIM3,NC_000005.9,NM_001345860,NM_001345860.1
17219,AFAP1L1,NC_000005.9,NM_152406,NM_152406.3
17220,AFAP1L1,NC_000005.9,NM_001146337,NM_001146337.2
17221,AFAP1L1,NC_000005.9,NM_001323062,NM_001323062.1
17222,AFAP1L1,NC_000005.9,NM_001323063,NM_001323063.1
17223,GRPEL2,NC_000005.9,NM_152407,NM_152407.3
17224,GRPEL2-AS1,NC_000005.9,NR_132366,NR_132366.1
17225,PCYOX1L,NC_000005.9,NM_001301054,NM_001301054.1
17226,PCYOX1L,NC_000005.9,NM_001301057,NM_001301057.1
17227,PCYOX1L,NC_000005.9,NM_024028,NM_024028.3
17228,IL17B,NC_000005.9,NM_001317987,NM_001317987.1
17229,IL17B,NC_000005.9,NM_014443,NM_014443.2
17230,CARMN,NC_000005.9,NR_105059,NR_105059.1
17231,CARMN,NC_000005.9,NR_105060,NR_105060.1
17232,MIR143,NC_000005.9,NR_029684,NR_029684.1
17233,MIR145,NC_000005.9,NR_029686,NR_029686.1
17234,CSNK1A1,NC_000005.9,NM_001271741,NM_001271741.1
17235,CSNK1A1,NC_000005.9,NM_001892,NM_001892.5
17236,CSNK1A1,NC_000005.9,NM_001025105,NM_001025105.2
17237,CSNK1A1,NC_000005.9,NM_001271742,NM_001271742.1
17238,ARHGEF37,NC_000005.9,NM_001001669,NM_001001669.2
17239,PPARGC1B,NC_000005.9,NM_133263,NM_133263.3
17240,PPARGC1B,NC_000005.9,NM_001172698,NM_001172698.1
17241,PPARGC1B,NC_000005.9,NM_001172699,NM_001172699.1
17242,MIR378A,NC_000005.9,NR_029870,NR_029870.1
17243,PDE6A,NC_000005.9,NM_000440,NM_000440.2
17244,LOC644762,NC_000005.9,NR_110534,NR_110534.1
17245,SLC26A2,NC_000005.9,NM_000112,NM_000112.3
17246,TIGD6,NC_000005.9,NM_030953,NM_030953.3
17247,TIGD6,NC_000005.9,NM_001243253,NM_001243253.1
17248,HMGXB3,NC_000005.9,NM_014983,NM_014983.2
17249,CSF1R,NC_000005.9,NM_005211,NM_005211.3
17250,CSF1R,NC_000005.9,NM_001288705,NM_001288705.2
17251,CSF1R,NC_000005.9,NR_109969,NR_109969.1
17252,PDGFRB,NC_000005.9,NM_002609,NM_002609.3
17253,CDX1,NC_000005.9,NM_001804,NM_001804.2
17254,SLC6A7,NC_000005.9,NM_014228,NM_014228.4
17255,CAMK2A,NC_000005.9,NM_171825,NM_171825.2
17256,CAMK2A,NC_000005.9,NM_015981,NM_015981.3
17257,ARSI,NC_000005.9,NM_001012301,NM_001012301.3
17258,TCOF1,NC_000005.9,NM_001135243,NM_001135243.1
17259,TCOF1,NC_000005.9,NM_001135244,NM_001135244.1
17260,TCOF1,NC_000005.9,NM_001195141,NM_001195141.1
17261,TCOF1,NC_000005.9,NM_001135245,NM_001135245.1
17262,TCOF1,NC_000005.9,NM_000356,NM_000356.3
17263,TCOF1,NC_000005.9,NM_001008657,NM_001008657.2
17264,CD74,NC_000005.9,NM_001025158,NM_001025158.2
17265,CD74,NC_000005.9,NM_004355,NM_004355.3
17266,CD74,NC_000005.9,NM_001025159,NM_001025159.2
17267,RPS14,NC_000005.9,NM_005617,NM_005617.3
17268,RPS14,NC_000005.9,NM_001025070,NM_001025070.1
17269,RPS14,NC_000005.9,NM_001025071,NM_001025071.1
17270,NDST1-AS1,NC_000005.9,NR_105061,NR_105061.1
17271,NDST1,NC_000005.9,NM_001301063,NM_001301063.1
17272,NDST1,NC_000005.9,NM_001543,NM_001543.4
17273,SYNPO,NC_000005.9,NM_001166208,NM_001166208.1
17274,SYNPO,NC_000005.9,NM_001166209,NM_001166209.1
17275,SYNPO,NC_000005.9,NM_007286,NM_007286.5
17276,SYNPO,NC_000005.9,NM_001109974,NM_001109974.2
17277,MYOZ3,NC_000005.9,NM_001122853,NM_001122853.2
17278,MYOZ3,NC_000005.9,NM_133371,NM_133371.4
17279,RBM22,NC_000005.9,NM_018047,NM_018047.2
17280,DCTN4,NC_000005.9,NM_016221,NM_016221.3
17281,DCTN4,NC_000005.9,NM_001135643,NM_001135643.1
17282,DCTN4,NC_000005.9,NM_001135644,NM_001135644.1
17283,SMIM3,NC_000005.9,NM_032947,NM_032947.4
17284,IRGM,NC_000005.9,NM_001346557,NM_001346557.1
17285,IRGM,NC_000005.9,NM_001145805,NM_001145805.1
17286,ZNF300,NC_000005.9,NM_001172832,NM_001172832.1
17287,ZNF300,NC_000005.9,NM_052860,NM_052860.2
17288,ZNF300,NC_000005.9,NM_001172831,NM_001172831.1
17289,ZNF300P1,NC_000005.9,NR_026867,NR_026867.1
17290,GPX3,NC_000005.9,NM_001329790,NM_001329790.1
17291,GPX3,NC_000005.9,NM_002084,NM_002084.4
17292,TNIP1,NC_000005.9,NM_001252390,NM_001252390.1
17293,TNIP1,NC_000005.9,NM_001252392,NM_001252392.1
17294,TNIP1,NC_000005.9,NM_001252391,NM_001252391.1
17295,TNIP1,NC_000005.9,NM_001258454,NM_001258454.1
17296,TNIP1,NC_000005.9,NM_001252386,NM_001252386.1
17297,TNIP1,NC_000005.9,NM_001252393,NM_001252393.1
17298,TNIP1,NC_000005.9,NM_006058,NM_006058.4
17299,TNIP1,NC_000005.9,NM_001252385,NM_001252385.1
17300,TNIP1,NC_000005.9,NM_001258456,NM_001258456.1
17301,TNIP1,NC_000005.9,NM_001258455,NM_001258455.1
17302,ANXA6,NC_000005.9,NM_001155,NM_001155.4
17303,ANXA6,NC_000005.9,NM_001193544,NM_001193544.1
17304,CCDC69,NC_000005.9,NM_015621,NM_015621.2
17305,GM2A,NC_000005.9,NM_000405,NM_000405.4
17306,GM2A,NC_000005.9,NM_001167607,NM_001167607.1
17307,SLC36A3,NC_000005.9,NM_181774,NM_181774.3
17308,SLC36A3,NC_000005.9,NM_001145017,NM_001145017.1
17309,SLC36A2,NC_000005.9,NM_181776,NM_181776.2
17310,SLC36A1,NC_000005.9,NM_001308151,NM_001308151.1
17311,SLC36A1,NC_000005.9,NM_078483,NM_078483.3
17312,SLC36A1,NC_000005.9,NM_001308150,NM_001308150.1
17313,FAT2,NC_000005.9,NM_001447,NM_001447.2
17314,MIR6499,NC_000005.9,NR_106752,NR_106752.1
17315,SPARC,NC_000005.9,NM_001309443,NM_001309443.1
17316,SPARC,NC_000005.9,NM_001309444,NM_001309444.1
17317,SPARC,NC_000005.9,NM_003118,NM_003118.3
17318,CTB-113P19.1,NC_000005.9,NR_109873,NR_109873.1
17319,ATOX1,NC_000005.9,NM_004045,NM_004045.3
17320,LOC100652758,NC_000005.9,NR_132345,NR_132345.1
17321,LOC100652758,NC_000005.9,NR_132346,NR_132346.1
17322,G3BP1,NC_000005.9,NM_005754,NM_005754.2
17323,G3BP1,NC_000005.9,NM_198395,NM_198395.1
17324,GLRA1,NC_000005.9,NM_001292000,NM_001292000.1
17325,GLRA1,NC_000005.9,NM_000171,NM_000171.3
17326,GLRA1,NC_000005.9,NM_001146040,NM_001146040.1
17327,LINC01933,NC_000005.9,NR_109876,NR_109876.1
17328,NMUR2,NC_000005.9,NM_020167,NM_020167.4
17329,LINC01470,NC_000005.9,NR_109877,NR_109877.1
17330,GRIA1,NC_000005.9,NM_001258020,NM_001258020.1
17331,GRIA1,NC_000005.9,NM_000827,NM_000827.3
17332,GRIA1,NC_000005.9,NM_001114183,NM_001114183.1
17333,GRIA1,NC_000005.9,NM_001258019,NM_001258019.1
17334,GRIA1,NC_000005.9,NR_047578,NR_047578.1
17335,GRIA1,NC_000005.9,NM_001258023,NM_001258023.1
17336,GRIA1,NC_000005.9,NM_001258021,NM_001258021.1
17337,GRIA1,NC_000005.9,NM_001258022,NM_001258022.1
17338,FAM114A2,NC_000005.9,NM_001317995,NM_001317995.1
17339,FAM114A2,NC_000005.9,NM_018691,NM_018691.3
17340,FAM114A2,NC_000005.9,NM_001317993,NM_001317993.1
17341,FAM114A2,NC_000005.9,NM_001317994,NM_001317994.1
17342,MFAP3,NC_000005.9,NM_001242336,NM_001242336.1
17343,MFAP3,NC_000005.9,NM_005927,NM_005927.4
17344,MFAP3,NC_000005.9,NM_001135037,NM_001135037.1
17345,GALNT10,NC_000005.9,NM_198321,NM_198321.3
17346,MIR1294,NC_000005.9,NR_031626,NR_031626.1
17347,SAP30L-AS1,NC_000005.9,NR_037897,NR_037897.1
17348,SAP30L,NC_000005.9,NR_024084,NR_024084.1
17349,SAP30L,NC_000005.9,NM_024632,NM_024632.5
17350,SAP30L,NC_000005.9,NM_001131062,NM_001131062.1
17351,SAP30L,NC_000005.9,NM_001131063,NM_001131063.1
17352,HAND1,NC_000005.9,NM_004821,NM_004821.2
17353,MIR3141,NC_000005.9,NR_036094,NR_036094.1
17354,MIR1303,NC_000005.9,NR_031638,NR_031638.1
17355,LARP1,NC_000005.9,NM_015315,NM_015315.4
17356,FAXDC2,NC_000005.9,NM_032385,NM_032385.4
17357,MIR378H,NC_000005.9,NR_039667,NR_039667.1
17358,CNOT8,NC_000005.9,NM_001301083,NM_001301083.1
17359,CNOT8,NC_000005.9,NM_001301082,NM_001301082.1
17360,CNOT8,NC_000005.9,NM_004779,NM_004779.5
17361,CNOT8,NC_000005.9,NM_001301075,NM_001301075.1
17362,CNOT8,NC_000005.9,NM_001301073,NM_001301073.1
17363,CNOT8,NC_000005.9,NM_001301074,NM_001301074.1
17364,CNOT8,NC_000005.9,NM_001301077,NM_001301077.1
17365,CNOT8,NC_000005.9,NM_001301080,NM_001301080.1
17366,CNOT8,NC_000005.9,NM_001301086,NM_001301086.1
17367,GEMIN5,NC_000005.9,NM_001252156,NM_001252156.1
17368,GEMIN5,NC_000005.9,NM_015465,NM_015465.4
17369,MRPL22,NC_000005.9,NM_014180,NM_014180.3
17370,MRPL22,NC_000005.9,NM_001014990,NM_001014990.2
17371,KIF4B,NC_000005.9,NM_001099293,NM_001099293.2
17372,SGCD,NC_000005.9,NM_000337,NM_000337.5
17373,SGCD,NC_000005.9,NM_001128209,NM_001128209.1
17374,SGCD,NC_000005.9,NM_172244,NM_172244.2
17375,PPP1R2P3,NC_000005.9,NR_038443,NR_038443.1
