,Gene,Chromosome_Accession,Transcript,Transcript_ID_Full
10462,RBPJ,NC_000004.11,NM_005349,NM_005349.3
10463,RBPJ,NC_000004.11,NM_203283,NM_203283.2
10464,RBPJ,NC_000004.11,NM_203284,NM_203284.2
10465,RBPJ,NC_000004.11,NM_015874,NM_015874.4
10466,CCKAR,NC_000004.11,NM_000730,NM_000730.2
10467,TBC1D19,NC_000004.11,NM_018317,NM_018317.3
10468,TBC1D19,NC_000004.11,NM_001292054,NM_001292054.1
10469,STIM2,NC_000004.11,NM_001169118,NM_001169118.1
10470,STIM2,NC_000004.11,NM_001169117,NM_001169117.1
10471,STIM2,NC_000004.11,NM_020860,NM_020860.3
10472,PCDH7,NC_000004.11,NM_032456,NM_032456.2
10473,PCDH7,NC_000004.11,NM_001173523,NM_001173523.1
10474,PCDH7,NC_000004.11,NM_032457,NM_032457.3
10475,PCDH7,NC_000004.11,NM_002589,NM_002589.2
10476,ARAP2,NC_000004.11,NM_015230,NM_015230.3
10477,DTHD1,NC_000004.11,NM_001136536,NM_001136536.4
10478,DTHD1,NC_000004.11,NM_001170700,NM_001170700.2
10479,NWD2,NC_000004.11,NM_001144990,NM_001144990.1
10480,C4orf19,NC_000004.11,NM_001104629,NM_001104629.1
10481,C4orf19,NC_000004.11,NM_018302,NM_018302.2
10482,RELL1,NC_000004.11,NM_001085399,NM_001085399.1
10483,RELL1,NC_000004.11,NM_001085400,NM_001085400.1
10484,PGM2,NC_000004.11,NM_018290,NM_018290.3
10485,TBC1D1,NC_000004.11,NM_001253912,NM_001253912.1
10486,TBC1D1,NC_000004.11,NM_015173,NM_015173.3
10487,TBC1D1,NC_000004.11,NM_001253913,NM_001253913.1
10488,TBC1D1,NC_000004.11,NM_001253914,NM_001253914.1
10489,TBC1D1,NC_000004.11,NM_001253915,NM_001253915.1
10490,PTTG2,NC_000004.11,NM_006607,NM_006607.2
10491,KLF3,NC_000004.11,NM_016531,NM_016531.5
10492,TLR10,NC_000004.11,NM_001017388,NM_001017388.2
10493,TLR10,NC_000004.11,NM_001195107,NM_001195107.1
10494,TLR10,NC_000004.11,NM_001195108,NM_001195108.1
10495,TLR10,NC_000004.11,NM_001195106,NM_001195106.1
10496,TLR10,NC_000004.11,NM_030956,NM_030956.3
10497,TLR1,NC_000004.11,NM_003263,NM_003263.3
10498,TLR6,NC_000004.11,NM_006068,NM_006068.4
10499,FAM114A1,NC_000004.11,NM_138389,NM_138389.3
10500,FAM114A1,NC_000004.11,NM_001330764,NM_001330764.1
10501,TMEM156,NC_000004.11,NM_001303228,NM_001303228.1
10502,TMEM156,NC_000004.11,NM_024943,NM_024943.2
10503,KLHL5,NC_000004.11,NM_001007075,NM_001007075.2
10504,KLHL5,NC_000004.11,NM_001171654,NM_001171654.1
10505,KLHL5,NC_000004.11,NM_015990,NM_015990.4
10506,KLHL5,NC_000004.11,NM_199039,NM_199039.3
10507,WDR19,NC_000004.11,NM_025132,NM_025132.3
10508,WDR19,NC_000004.11,NM_001317924,NM_001317924.1
10509,RFC1,NC_000004.11,NM_002913,NM_002913.4
10510,RFC1,NC_000004.11,NM_001204747,NM_001204747.1
10511,KLB,NC_000004.11,NM_175737,NM_175737.3
10512,RPL9,NC_000004.11,NM_000661,NM_000661.4
10513,RPL9,NC_000004.11,NM_001024921,NM_001024921.3
10514,LIAS,NC_000004.11,NM_006859,NM_006859.3
10515,LIAS,NC_000004.11,NM_194451,NM_194451.2
10516,LIAS,NC_000004.11,NM_001278590,NM_001278590.1
10517,LIAS,NC_000004.11,NM_001278591,NM_001278591.1
10518,LIAS,NC_000004.11,NM_001278592,NM_001278592.1
10519,UGDH,NC_000004.11,NM_001184700,NM_001184700.1
10520,UGDH,NC_000004.11,NM_001184701,NM_001184701.1
10521,UGDH,NC_000004.11,NM_003359,NM_003359.3
10522,SMIM14,NC_000004.11,NM_174921,NM_174921.2
10523,SMIM14,NC_000004.11,NM_001317896,NM_001317896.1
10524,SMIM14,NC_000004.11,NM_001317897,NM_001317897.1
10525,UBE2K,NC_000004.11,NM_005339,NM_005339.4
10526,UBE2K,NC_000004.11,NM_001111112,NM_001111112.1
10527,UBE2K,NC_000004.11,NM_001312646,NM_001312646.1
10528,UBE2K,NC_000004.11,NM_001312648,NM_001312648.1
10529,UBE2K,NC_000004.11,NM_001111113,NM_001111113.1
10530,UBE2K,NC_000004.11,NM_001312647,NM_001312647.1
10531,PDS5A,NC_000004.11,NM_001100399,NM_001100399.1
10532,PDS5A,NC_000004.11,NM_001100400,NM_001100400.1
10533,N4BP2,NC_000004.11,NM_001318359,NM_001318359.1
10534,N4BP2,NC_000004.11,NM_018177,NM_018177.5
10535,RHOH,NC_000004.11,NM_001278368,NM_001278368.1
10536,RHOH,NC_000004.11,NM_001278365,NM_001278365.1
10537,RHOH,NC_000004.11,NM_001278364,NM_001278364.1
10538,RHOH,NC_000004.11,NM_001278366,NM_001278366.1
10539,RHOH,NC_000004.11,NM_001278367,NM_001278367.1
10540,RHOH,NC_000004.11,NM_001278369,NM_001278369.1
10541,RHOH,NC_000004.11,NM_001278362,NM_001278362.1
10542,RHOH,NC_000004.11,NM_001278361,NM_001278361.1
10543,RHOH,NC_000004.11,NM_001278360,NM_001278360.1
10544,RHOH,NC_000004.11,NM_001278359,NM_001278359.1
10545,RHOH,NC_000004.11,NM_001278363,NM_001278363.1
10546,RHOH,NC_000004.11,NM_004310,NM_004310.4
10547,CHRNA9,NC_000004.11,NM_017581,NM_017581.3
10548,RBM47,NC_000004.11,NM_001098634,NM_001098634.1
10549,RBM47,NC_000004.11,NM_019027,NM_019027.3
10550,NSUN7,NC_000004.11,NM_024677,NM_024677.5
10551,NSUN7,NC_000004.11,NM_001330648,NM_001330648.2
10552,APBB2,NC_000004.11,NM_001330658,NM_001330658.1
10553,APBB2,NC_000004.11,NM_173075,NM_173075.4
10554,APBB2,NC_000004.11,NM_001330656,NM_001330656.1
10555,APBB2,NC_000004.11,NM_001166050,NM_001166050.1
10556,APBB2,NC_000004.11,NM_004307,NM_004307.1
10557,APBB2,NC_000004.11,NM_001166054,NM_001166054.1
10558,APBB2,NC_000004.11,NM_001166053,NM_001166053.1
10559,APBB2,NC_000004.11,NM_001166052,NM_001166052.1
10560,APBB2,NC_000004.11,NM_001166051,NM_001166051.1
10561,UCHL1,NC_000004.11,NM_004181,NM_004181.4
10562,LIMCH1,NC_000004.11,NM_001289124,NM_001289124.1
10563,LIMCH1,NC_000004.11,NM_014988,NM_014988.4
10564,LIMCH1,NC_000004.11,NM_001112717,NM_001112717.3
10565,LIMCH1,NC_000004.11,NM_001330787,NM_001330787.1
10566,LIMCH1,NC_000004.11,NM_001330790,NM_001330790.1
10567,LIMCH1,NC_000004.11,NM_001112718,NM_001112718.3
10568,LIMCH1,NC_000004.11,NM_001330788,NM_001330788.1
10569,LIMCH1,NC_000004.11,NM_001330789,NM_001330789.1
10570,LIMCH1,NC_000004.11,NM_001330784,NM_001330784.1
10571,LIMCH1,NC_000004.11,NM_001289122,NM_001289122.2
10572,LIMCH1,NC_000004.11,NM_001330791,NM_001330791.1
10573,LIMCH1,NC_000004.11,NM_001330792,NM_001330792.1
10574,LIMCH1,NC_000004.11,NM_001330672,NM_001330672.1
10575,LIMCH1,NC_000004.11,NM_001330786,NM_001330786.1
10576,LIMCH1,NC_000004.11,NM_001330982,NM_001330982.1
10577,LIMCH1,NC_000004.11,NM_001330793,NM_001330793.1
10578,LIMCH1,NC_000004.11,NM_001112719,NM_001112719.3
10579,LIMCH1,NC_000004.11,NM_001330674,NM_001330674.1
10580,LIMCH1,NC_000004.11,NM_001112720,NM_001112720.3
10581,LIMCH1,NC_000004.11,NM_001330983,NM_001330983.1
10582,PHOX2B,NC_000004.11,NM_003924,NM_003924.3
10583,TMEM33,NC_000004.11,NM_018126,NM_018126.2
10584,DCAF4L1,NC_000004.11,NM_001029955,NM_001029955.3
10585,SLC30A9,NC_000004.11,NM_006345,NM_006345.3
10586,BEND4,NC_000004.11,NM_001159547,NM_001159547.1
10587,BEND4,NC_000004.11,NM_207406,NM_207406.3
10588,SHISA3,NC_000004.11,NM_001080505,NM_001080505.1
10589,ATP8A1,NC_000004.11,NM_006095,NM_006095.2
10590,ATP8A1,NC_000004.11,NM_001105529,NM_001105529.1
10591,GRXCR1,NC_000004.11,NM_001080476,NM_001080476.2
10592,KCTD8,NC_000004.11,NM_198353,NM_198353.2
10593,YIPF7,NC_000004.11,NM_182592,NM_182592.2
10594,GUF1,NC_000004.11,NM_001345868,NM_001345868.1
10595,GUF1,NC_000004.11,NM_001345867,NM_001345867.1
10596,GUF1,NC_000004.11,NM_001345869,NM_001345869.1
10597,GUF1,NC_000004.11,NM_021927,NM_021927.2
10598,GNPDA2,NC_000004.11,NM_001270881,NM_001270881.1
10599,GNPDA2,NC_000004.11,NM_001270880,NM_001270880.1
10600,GNPDA2,NC_000004.11,NM_138335,NM_138335.2
10601,GABRG1,NC_000004.11,NM_173536,NM_173536.3
10602,GABRA2,NC_000004.11,NM_001286827,NM_001286827.2
10603,GABRA2,NC_000004.11,NM_000807,NM_000807.3
10604,GABRA2,NC_000004.11,NM_001330690,NM_001330690.1
10605,GABRA2,NC_000004.11,NM_001114175,NM_001114175.2
10606,COX7B2,NC_000004.11,NM_130902,NM_130902.2
10607,GABRA4,NC_000004.11,NM_000809,NM_000809.3
10608,GABRA4,NC_000004.11,NM_001204267,NM_001204267.1
10609,GABRA4,NC_000004.11,NM_001204266,NM_001204266.1
10610,GABRB1,NC_000004.11,NM_000812,NM_000812.3
10611,COMMD8,NC_000004.11,NM_001329668,NM_001329668.1
10612,COMMD8,NC_000004.11,NM_017845,NM_017845.4
10613,ATP10D,NC_000004.11,NM_020453,NM_020453.3
10614,CORIN,NC_000004.11,NM_001278585,NM_001278585.1
10615,CORIN,NC_000004.11,NM_006587,NM_006587.3
10616,CORIN,NC_000004.11,NM_001278586,NM_001278586.1
10617,NFXL1,NC_000004.11,NM_001278623,NM_001278623.1
10618,NFXL1,NC_000004.11,NM_152995,NM_152995.5
10619,NFXL1,NC_000004.11,NM_001278624,NM_001278624.1
10620,CNGA1,NC_000004.11,NM_000087,NM_000087.3
10621,CNGA1,NC_000004.11,NM_001142564,NM_001142564.1
10622,NIPAL1,NC_000004.11,NM_207330,NM_207330.2
10623,TXK,NC_000004.11,NM_003328,NM_003328.2
10624,TEC,NC_000004.11,NM_003215,NM_003215.2
10625,SLAIN2,NC_000004.11,NM_020846,NM_020846.1
10626,SLC10A4,NC_000004.11,NM_152679,NM_152679.3
10627,ZAR1,NC_000004.11,NM_175619,NM_175619.2
10628,FRYL,NC_000004.11,NM_015030,NM_015030.1
10629,OCIAD1,NC_000004.11,NM_001079841,NM_001079841.2
10630,OCIAD1,NC_000004.11,NM_017830,NM_017830.3
10631,OCIAD1,NC_000004.11,NM_001079840,NM_001079840.2
10632,OCIAD1,NC_000004.11,NM_001079839,NM_001079839.2
10633,OCIAD1,NC_000004.11,NM_001079842,NM_001079842.2
10634,OCIAD1,NC_000004.11,NM_001168254,NM_001168254.1
10635,OCIAD2,NC_000004.11,NM_001286774,NM_001286774.1
10636,OCIAD2,NC_000004.11,NM_152398,NM_152398.3
10637,OCIAD2,NC_000004.11,NM_001014446,NM_001014446.2
10638,OCIAD2,NC_000004.11,NM_001286773,NM_001286773.1
10639,CWH43,NC_000004.11,NM_025087,NM_025087.2
10640,CWH43,NC_000004.11,NM_001286791,NM_001286791.1
10641,DCUN1D4,NC_000004.11,NM_001287757,NM_001287757.1
10642,DCUN1D4,NC_000004.11,NM_001040402,NM_001040402.2
10643,DCUN1D4,NC_000004.11,NM_015115,NM_015115.3
10644,DCUN1D4,NC_000004.11,NM_001287755,NM_001287755.1
10645,LRRC66,NC_000004.11,NM_001024611,NM_001024611.2
10646,SGCB,NC_000004.11,NM_000232,NM_000232.4
10647,SPATA18,NC_000004.11,NM_145263,NM_145263.3
10648,SPATA18,NC_000004.11,NM_001297608,NM_001297608.1
10649,SPATA18,NC_000004.11,NM_001346102,NM_001346102.1
10650,SPATA18,NC_000004.11,NM_001346103,NM_001346103.1
10651,USP46,NC_000004.11,NM_001286767,NM_001286767.1
10652,USP46,NC_000004.11,NM_022832,NM_022832.3
10653,USP46,NC_000004.11,NM_001286768,NM_001286768.1
10654,USP46,NC_000004.11,NM_001134223,NM_001134223.1
10655,ERVMER34-1,NC_000004.11,NM_001242690,NM_001242690.1
10656,ERVMER34-1,NC_000004.11,NM_024534,NM_024534.5
10657,RASL11B,NC_000004.11,NM_023940,NM_023940.2
10658,SCFD2,NC_000004.11,NM_152540,NM_152540.3
10659,FIP1L1,NC_000004.11,NM_030917,NM_030917.3
10660,FIP1L1,NC_000004.11,NM_001134937,NM_001134937.1
10661,FIP1L1,NC_000004.11,NM_001134938,NM_001134938.1
10662,LNX1,NC_000004.11,NM_001126328,NM_001126328.2
10663,LNX1,NC_000004.11,NM_032622,NM_032622.2
10664,CHIC2,NC_000004.11,NM_012110,NM_012110.3
10665,GSX2,NC_000004.11,NM_133267,NM_133267.2
10666,PDGFRA,NC_000004.11,NM_001347828,NM_001347828.1
10667,PDGFRA,NC_000004.11,NM_006206,NM_006206.5
10668,PDGFRA,NC_000004.11,NM_001347827,NM_001347827.1
10669,PDGFRA,NC_000004.11,NM_001347829,NM_001347829.1
10670,PDGFRA,NC_000004.11,NM_001347830,NM_001347830.1
10671,KIT,NC_000004.11,NM_000222,NM_000222.2
10672,KIT,NC_000004.11,NM_001093772,NM_001093772.1
10673,KDR,NC_000004.11,NM_002253,NM_002253.2
10674,SRD5A3,NC_000004.11,NM_024592,NM_024592.4
10675,TMEM165,NC_000004.11,NM_018475,NM_018475.4
10676,CLOCK,NC_000004.11,NM_004898,NM_004898.3
10677,CLOCK,NC_000004.11,NM_001267843,NM_001267843.1
10678,PDCL2,NC_000004.11,NM_152401,NM_152401.2
10679,NMU,NC_000004.11,NM_001292045,NM_001292045.1
10680,NMU,NC_000004.11,NM_001292046,NM_001292046.1
10681,NMU,NC_000004.11,NM_006681,NM_006681.3
10682,EXOC1,NC_000004.11,NM_001024924,NM_001024924.1
10683,EXOC1,NC_000004.11,NM_018261,NM_018261.3
10684,EXOC1,NC_000004.11,NM_178237,NM_178237.2
10685,CEP135,NC_000004.11,NM_025009,NM_025009.4
10686,KIAA1211,NC_000004.11,NM_020722,NM_020722.1
10687,AASDH,NC_000004.11,NM_001286668,NM_001286668.1
10688,AASDH,NC_000004.11,NM_001323893,NM_001323893.1
10689,AASDH,NC_000004.11,NM_001286669,NM_001286669.1
10690,AASDH,NC_000004.11,NM_001286670,NM_001286670.1
10691,AASDH,NC_000004.11,NM_001323899,NM_001323899.1
10692,AASDH,NC_000004.11,NM_001286671,NM_001286671.1
10693,AASDH,NC_000004.11,NM_001323892,NM_001323892.1
10694,AASDH,NC_000004.11,NM_181806,NM_181806.3
10695,AASDH,NC_000004.11,NM_001323890,NM_001323890.1
10696,AASDH,NC_000004.11,NM_001286672,NM_001286672.1
10697,PPAT,NC_000004.11,NM_002703,NM_002703.4
10698,PAICS,NC_000004.11,NM_006452,NM_006452.3
10699,PAICS,NC_000004.11,NM_001079525,NM_001079525.1
10700,PAICS,NC_000004.11,NM_001079524,NM_001079524.1
10701,SRP72,NC_000004.11,NM_006947,NM_006947.3
10702,SRP72,NC_000004.11,NM_001267722,NM_001267722.1
10703,ARL9,NC_000004.11,NM_206919,NM_206919.1
10704,THEGL,NC_000004.11,NM_001256475,NM_001256475.1
10705,HOPX,NC_000004.11,NM_139212,NM_139212.3
10706,HOPX,NC_000004.11,NM_032495,NM_032495.5
10707,HOPX,NC_000004.11,NM_001145460,NM_001145460.1
10708,HOPX,NC_000004.11,NM_139211,NM_139211.4
10709,HOPX,NC_000004.11,NM_001145459,NM_001145459.1
10710,SPINK2,NC_000004.11,NM_021114,NM_021114.3
10711,SPINK2,NC_000004.11,NM_001271721,NM_001271721.1
10712,SPINK2,NC_000004.11,NM_001271720,NM_001271720.1
10713,SPINK2,NC_000004.11,NM_001271722,NM_001271722.1
10714,SPINK2,NC_000004.11,NM_001271719,NM_001271719.1
10715,SPINK2,NC_000004.11,NM_001271718,NM_001271718.1
10716,REST,NC_000004.11,NM_005612,NM_005612.4
10717,REST,NC_000004.11,NM_001193508,NM_001193508.1
10718,NOA1,NC_000004.11,NM_032313,NM_032313.3
10719,POLR2B,NC_000004.11,NM_001303269,NM_001303269.1
10720,POLR2B,NC_000004.11,NM_000938,NM_000938.2
10721,POLR2B,NC_000004.11,NM_001303268,NM_001303268.1
10722,IGFBP7,NC_000004.11,NM_001553,NM_001553.2
10723,IGFBP7,NC_000004.11,NM_001253835,NM_001253835.1
10724,ADGRL3,NC_000004.11,NM_001322402,NM_001322402.1
10725,ADGRL3,NC_000004.11,NM_001322246,NM_001322246.1
10726,ADGRL3,NC_000004.11,NM_015236,NM_015236.5
10727,TECRL,NC_000004.11,NM_001010874,NM_001010874.4
10728,EPHA5,NC_000004.11,NM_182472,NM_182472.4
10729,EPHA5,NC_000004.11,NM_004439,NM_004439.7
10730,EPHA5,NC_000004.11,NM_001281766,NM_001281766.2
10731,EPHA5,NC_000004.11,NM_001281765,NM_001281765.2
10732,EPHA5,NC_000004.11,NM_001318761,NM_001318761.1
10733,EPHA5,NC_000004.11,NM_001281767,NM_001281767.2
10734,CENPC,NC_000004.11,NM_001812,NM_001812.2
10735,STAP1,NC_000004.11,NM_012108,NM_012108.3
10736,STAP1,NC_000004.11,NM_001317769,NM_001317769.1
10737,UBA6,NC_000004.11,NM_018227,NM_018227.5
10738,GNRHR,NC_000004.11,NM_001012763,NM_001012763.1
10739,GNRHR,NC_000004.11,NM_000406,NM_000406.2
10740,TMPRSS11D,NC_000004.11,NM_004262,NM_004262.2
10741,TMPRSS11A,NC_000004.11,NM_001114387,NM_001114387.1
10742,TMPRSS11A,NC_000004.11,NM_182606,NM_182606.3
10743,TMPRSS11F,NC_000004.11,NM_207407,NM_207407.2
10744,TMPRSS11B,NC_000004.11,NM_182502,NM_182502.3
10745,YTHDC1,NC_000004.11,NM_133370,NM_133370.3
10746,YTHDC1,NC_000004.11,NM_001031732,NM_001031732.3
10747,YTHDC1,NC_000004.11,NM_001330698,NM_001330698.1
10748,TMPRSS11E,NC_000004.11,NM_014058,NM_014058.3
10749,UGT2B17,NC_000004.11,NM_001077,NM_001077.3
10750,UGT2B15,NC_000004.11,NM_001076,NM_001076.3
10751,UGT2B10,NC_000004.11,NM_001075,NM_001075.5
10752,UGT2B10,NC_000004.11,NM_001144767,NM_001144767.2
10753,UGT2B10,NC_000004.11,NM_001290091,NM_001290091.1
10754,UGT2A3,NC_000004.11,NM_024743,NM_024743.3
10755,UGT2B7,NC_000004.11,NM_001074,NM_001074.3
10756,UGT2B7,NC_000004.11,NM_001330719,NM_001330719.1
10757,UGT2B11,NC_000004.11,NM_001073,NM_001073.2
10758,UGT2B28,NC_000004.11,NM_053039,NM_053039.1
10759,UGT2B28,NC_000004.11,NM_001207004,NM_001207004.1
10760,UGT2B4,NC_000004.11,NM_001297616,NM_001297616.1
10761,UGT2B4,NC_000004.11,NM_001297615,NM_001297615.1
10762,UGT2B4,NC_000004.11,NM_021139,NM_021139.2
10763,UGT2A1,NC_000004.11,NM_006798,NM_006798.4
10764,UGT2A1,NC_000004.11,NM_001252275,NM_001252275.2
10765,UGT2A1,NC_000004.11,NM_001252274,NM_001252274.2
10766,UGT2A1,NC_000004.11,NM_001301239,NM_001301239.1
10767,UGT2A2,NC_000004.11,NM_001301233,NM_001301233.1
10768,UGT2A2,NC_000004.11,NM_001105677,NM_001105677.2
10769,SULT1B1,NC_000004.11,NM_014465,NM_014465.3
10770,SULT1E1,NC_000004.11,NM_005420,NM_005420.2
10771,CSN1S1,NC_000004.11,NM_001890,NM_001890.1
10772,CSN1S1,NC_000004.11,NM_001025104,NM_001025104.1
10773,CSN2,NC_000004.11,NM_001302770,NM_001302770.1
10774,CSN2,NC_000004.11,NM_001891,NM_001891.3
10775,STATH,NC_000004.11,NM_003154,NM_003154.2
10776,STATH,NC_000004.11,NM_001009181,NM_001009181.1
10777,HTN3,NC_000004.11,NM_000200,NM_000200.2
10778,HTN1,NC_000004.11,NM_002159,NM_002159.3
10779,PRR27,NC_000004.11,NM_214711,NM_214711.3
10780,ODAM,NC_000004.11,NM_017855,NM_017855.3
10781,FDCSP,NC_000004.11,NM_152997,NM_152997.3
10782,CSN3,NC_000004.11,NM_005212,NM_005212.2
10783,CABS1,NC_000004.11,NM_033122,NM_033122.3
10784,SMR3A,NC_000004.11,NM_012390,NM_012390.3
10785,SMR3B,NC_000004.11,NM_006685,NM_006685.3
10786,OPRPN,NC_000004.11,NM_001302807,NM_001302807.1
10787,OPRPN,NC_000004.11,NM_021225,NM_021225.4
10788,MUC7,NC_000004.11,NM_001145006,NM_001145006.1
10789,MUC7,NC_000004.11,NM_001145007,NM_001145007.1
10790,MUC7,NC_000004.11,NM_152291,NM_152291.2
10791,AMTN,NC_000004.11,NM_212557,NM_212557.3
10792,AMTN,NC_000004.11,NM_001286731,NM_001286731.1
10793,AMBN,NC_000004.11,NM_016519,NM_016519.5
10794,ENAM,NC_000004.11,NM_031889,NM_031889.2
10795,JCHAIN,NC_000004.11,NM_144646,NM_144646.3
10796,UTP3,NC_000004.11,NM_020368,NM_020368.2
10797,RUFY3,NC_000004.11,NM_001130709,NM_001130709.1
10798,RUFY3,NC_000004.11,NM_001037442,NM_001037442.3
10799,RUFY3,NC_000004.11,NM_001291994,NM_001291994.1
10800,RUFY3,NC_000004.11,NM_014961,NM_014961.4
10801,RUFY3,NC_000004.11,NM_001291993,NM_001291993.1
10802,RUFY3,NC_000004.11,NM_001345840,NM_001345840.1
10803,GRSF1,NC_000004.11,NM_002092,NM_002092.3
10804,GRSF1,NC_000004.11,NM_001098477,NM_001098477.1
10805,MOB1B,NC_000004.11,NM_001244766,NM_001244766.1
10806,MOB1B,NC_000004.11,NM_173468,NM_173468.3
10807,MOB1B,NC_000004.11,NM_001244767,NM_001244767.1
10808,DCK,NC_000004.11,NM_000788,NM_000788.2
10809,SLC4A4,NC_000004.11,NM_001098484,NM_001098484.2
10810,SLC4A4,NC_000004.11,NM_001134742,NM_001134742.1
10811,SLC4A4,NC_000004.11,NM_003759,NM_003759.3
10812,GC,NC_000004.11,NM_001204306,NM_001204306.1
10813,GC,NC_000004.11,NM_001204307,NM_001204307.1
10814,GC,NC_000004.11,NM_000583,NM_000583.3
10815,NPFFR2,NC_000004.11,NM_004885,NM_004885.2
10816,NPFFR2,NC_000004.11,NM_001144756,NM_001144756.1
10817,NPFFR2,NC_000004.11,NM_053036,NM_053036.2
10818,ADAMTS3,NC_000004.11,NM_014243,NM_014243.2
10819,COX18,NC_000004.11,NM_001300729,NM_001300729.1
10820,COX18,NC_000004.11,NM_173827,NM_173827.3
10821,COX18,NC_000004.11,NM_001297732,NM_001297732.1
10822,COX18,NC_000004.11,NM_001297733,NM_001297733.1
10823,ANKRD17,NC_000004.11,NM_198889,NM_198889.2
10824,ANKRD17,NC_000004.11,NM_015574,NM_015574.1
10825,ANKRD17,NC_000004.11,NM_032217,NM_032217.4
10826,ANKRD17,NC_000004.11,NM_001286771,NM_001286771.2
10827,ALB,NC_000004.11,NM_000477,NM_000477.6
10828,AFP,NC_000004.11,NM_001134,NM_001134.2
10829,AFM,NC_000004.11,NM_001133,NM_001133.2
10830,RASSF6,NC_000004.11,NM_201431,NM_201431.2
10831,RASSF6,NC_000004.11,NM_001270392,NM_001270392.1
10832,RASSF6,NC_000004.11,NM_001270391,NM_001270391.1
10833,RASSF6,NC_000004.11,NM_177532,NM_177532.4
10834,CXCL8,NC_000004.11,NM_000584,NM_000584.3
10835,CXCL6,NC_000004.11,NM_002993,NM_002993.3
10836,PF4V1,NC_000004.11,NM_002620,NM_002620.3
10837,CXCL1,NC_000004.11,NM_001511,NM_001511.3
10838,PF4,NC_000004.11,NM_002619,NM_002619.3
10839,PPBP,NC_000004.11,NM_002704,NM_002704.3
10840,CXCL5,NC_000004.11,NM_002994,NM_002994.4
10841,CXCL3,NC_000004.11,NM_002090,NM_002090.2
10842,CXCL2,NC_000004.11,NM_002089,NM_002089.3
10843,MTHFD2L,NC_000004.11,NM_001004346,NM_001004346.3
10844,MTHFD2L,NC_000004.11,NM_001144978,NM_001144978.1
10845,EPGN,NC_000004.11,NM_001270989,NM_001270989.1
10846,EPGN,NC_000004.11,NM_001270990,NM_001270990.1
10847,EPGN,NC_000004.11,NM_001270992,NM_001270992.1
10848,EPGN,NC_000004.11,NM_001270991,NM_001270991.1
10849,EPGN,NC_000004.11,NM_001270993,NM_001270993.1
10850,EREG,NC_000004.11,NM_001432,NM_001432.2
10851,AREG,NC_000004.11,NM_001657,NM_001657.3
10852,BTC,NC_000004.11,NM_001316963,NM_001316963.1
10853,BTC,NC_000004.11,NM_001729,NM_001729.3
10854,PARM1,NC_000004.11,NM_015393,NM_015393.3
10855,RCHY1,NC_000004.11,NM_001278538,NM_001278538.1
10856,RCHY1,NC_000004.11,NM_001278537,NM_001278537.1
10857,RCHY1,NC_000004.11,NM_001278536,NM_001278536.1
10858,RCHY1,NC_000004.11,NM_001009922,NM_001009922.2
10859,RCHY1,NC_000004.11,NM_015436,NM_015436.3
10860,RCHY1,NC_000004.11,NM_001278539,NM_001278539.1
10861,THAP6,NC_000004.11,NM_144721,NM_144721.5
10862,THAP6,NC_000004.11,NM_001317791,NM_001317791.1
10863,C4orf26,NC_000004.11,NM_001206981,NM_001206981.1
10864,C4orf26,NC_000004.11,NM_178497,NM_178497.3
10865,C4orf26,NC_000004.11,NM_001257072,NM_001257072.1
10866,CDKL2,NC_000004.11,NM_003948,NM_003948.4
10867,CDKL2,NC_000004.11,NM_001330724,NM_001330724.1
10868,G3BP2,NC_000004.11,NM_203504,NM_203504.2
10869,G3BP2,NC_000004.11,NM_203505,NM_203505.2
10870,G3BP2,NC_000004.11,NM_012297,NM_012297.4
10871,USO1,NC_000004.11,NM_001290049,NM_001290049.1
10872,USO1,NC_000004.11,NM_003715,NM_003715.3
10873,PPEF2,NC_000004.11,NM_006239,NM_006239.2
10874,NAAA,NC_000004.11,NM_001042402,NM_001042402.1
10875,NAAA,NC_000004.11,NM_014435,NM_014435.3
10876,SDAD1,NC_000004.11,NM_001288983,NM_001288983.1
10877,SDAD1,NC_000004.11,NM_018115,NM_018115.3
10878,SDAD1,NC_000004.11,NM_001288984,NM_001288984.1
10879,CXCL9,NC_000004.11,NM_002416,NM_002416.2
10880,ART3,NC_000004.11,NM_001130017,NM_001130017.2
10881,ART3,NC_000004.11,NM_001130016,NM_001130016.2
10882,ART3,NC_000004.11,NM_001179,NM_001179.5
10883,CXCL10,NC_000004.11,NM_001565,NM_001565.3
10884,CXCL11,NC_000004.11,NM_001302123,NM_001302123.1
10885,CXCL11,NC_000004.11,NM_005409,NM_005409.4
10886,NUP54,NC_000004.11,NM_001278603,NM_001278603.1
10887,NUP54,NC_000004.11,NM_017426,NM_017426.3
10888,SCARB2,NC_000004.11,NM_001204255,NM_001204255.1
10889,SCARB2,NC_000004.11,NM_005506,NM_005506.3
10890,FAM47E,NC_000004.11,NM_001242936,NM_001242936.1
10891,FAM47E,NC_000004.11,NM_001136570,NM_001136570.2
10892,FAM47E-STBD1,NC_000004.11,NM_001242939,NM_001242939.1
10893,STBD1,NC_000004.11,NM_003943,NM_003943.4
10894,CCDC158,NC_000004.11,NM_001042784,NM_001042784.1
10895,SHROOM3,NC_000004.11,NM_020859,NM_020859.3
10896,SOWAHB,NC_000004.11,NM_001029870,NM_001029870.1
10897,11-Sep,NC_000004.11,NM_001306147,NM_001306147.1
10898,11-Sep,NC_000004.11,NM_018243,NM_018243.3
